<<<<<<< Updated upstream
,PDF Name,Page Number,UEN Number,Notes Page Content,Q&A model Output,Input_length,Summarized_Description_facebook_bart,Summarized_Description_philschmid_bart,Summarized_Description_azma_bart,Summarised?,Azma_bart_tfidf,FB_bart_tfidf,Philschmid_bart_tfidf,facebook_bart_summary,philschmid_bart_summary,azma_bart_summary,facebook_bart_summary_tfidf,philschmid_bart_summary_tfidf,azma_bart_summary_tfidf
0,ABR HOLDINGS LIMITED 2022 (197803023H).pdf,74,197803023H,"principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ",manufacture of ice cream,29,"principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ",No,"principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding.","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding.","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding.","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ","principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. ",of the the manufacture of ice the operation of ice,of the the manufacture of ice the operation of ice,of the the manufacture of ice the operation of ice
1,ABUNDANCE INTERNATIONAL LIMITED 2022 (197501572K).pdf,56,197501572K,principal activities of the Company are those of print and paper management related activities and investment holding. ,print and paper management related activities and investment holding,17,principal activities of the Company are those of print and paper management related activities and investment holding. ,principal activities of the Company are those of print and paper management related activities and investment holding. ,principal activities of the Company are those of print and paper management related activities and investment holding. ,No,principal activities of the Company are those of print and paper management related activities and investment holding.,principal activities of the Company are those of print and paper management related activities and investment holding.,principal activities of the Company are those of print and paper management related activities and investment holding.,principal activities of the Company are those of print and paper management related activities and investment holding. ,principal activities of the Company are those of print and paper management related activities and investment holding. ,principal activities of the Company are those of print and paper management related activities and investment holding. ,principal activities of the are those of print and paper,principal activities of the are those of print and paper,principal activities of the are those of print and paper
2,ABUNDANTE LIMITED 2023 (197902587H).pdf,48,197902587H,"principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ","investment holding company, supply of ready- mixed concrete",25,"principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ",No,"principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete.","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete.","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete.","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ","principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. ",of the those of an supply of mixed concrete and,of the those of an supply of mixed concrete and,of the those of an supply of mixed concrete and
3,ACCRELIST LTD. 2023 (201413466E).pdf,55,201413466E,principal activities of the Company is investment holding. ,investment holding,8,principal activities of the Company is investment holding. ,principal activities of the Company is investment holding. ,principal activities of the Company is investment holding. ,No,principal activities of the Company is investment holding.,principal activities of the Company is investment holding.,principal activities of the Company is investment holding.,principal activities of the Company is investment holding. ,principal activities of the Company is investment holding. ,principal activities of the Company is investment holding. ,principal activities of the is investment,principal activities of the is investment,principal activities of the is investment
4,ACESIAN PARTNERS LIMITED 2022 (199505699D).pdf,54,199505699D,"principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ","design, manufacture and supply of critical airflow and related products and investment holding",20,"principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ",No,"principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding.","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding.","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding.","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ","principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. ",activities of consist of manufacture and supply of critical airflow,of consist of manufacture and supply of critical airflow and,principal activities of consist of manufacture and supply of critical
5,ACMA LTD. 2022 (196500233E).pdf,48,196500233E,principal activity of the Company is that of investment holding. ,investment holding,10,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,No,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the is that of investment,principal activity of the is that of investment,principal activity of the is that of investment
6,ADVANCED SYSTEMS AUTOMATION LIMITED 2022 (198600740M).pdf,52,198600740M,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,investment holding,24,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,No,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year.,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year.,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year.,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. ,activity of the is have been no significant changes in,activity of the is have been no significant changes in,activity of the is have been no significant changes in
7,ALLIANCE HEALTHCARE GROUP LIMITED 2023 (200608233K).pdf,82,200608233K,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,investment holding and health related services,28,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,No,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ).,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ).,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ).,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). ,of the company is that of investment holding health related,of the company is that of health related company is,of the company is that of health related company is
8,ANNAIK LIMITED 2022 (197702066M).pdf,71,197702066M,principal activity of the Company is that of investment holding. ,investment holding,10,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,No,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding.,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the Company is that of investment holding. ,principal activity of the is that of investment,principal activity of the is that of investment,principal activity of the is that of investment
9,AP OIL INTERNATIONAL LIMITED 2022 (197502257M).pdf,61,197502257M,The  The Company is an investment holding company. ,investment holding company,8,The  The Company is an investment holding company. ,The  The Company is an investment holding company. ,The  The Company is an investment holding company. ,No,The The Company is an investment holding company.,The The Company is an investment holding company.,The The Company is an investment holding company.,The  The Company is an investment holding company. ,The  The Company is an investment holding company. ,The  The Company is an investment holding company. ,is an investment holding,is an investment holding,is an investment holding
